Type	error	Date	PC Time	 gps time	 latitude	 longitude	 equ temp	std val	 CO2 mv	 CO2 um/m	 H2O mv	 H2O mm/m	 licor temp	 licor press	 atm press	 equ press	 H2O flow	 licor flow	 equ pump	 vent flow	 atm cond	 equ cond	 drip 1	 drip 2	 cond temp	 dry box temp	 deck box temp	O2 um/l	O2 temp	Ch conc	Ch temp	Press	Temp	Cond	Sal	O2%	O2ppm	Temp2	TempIntake
EQU	0	13/12/11	00:01:20	23:01:21	-46.8122	4.3279	6.82	NaN	12795800.00	379.85	13547279.00	0.12	29.05	1019.71	1019.58	-0.37	2.95	105.02	68.00	-55.13	9.82	9.62	9.85	0.35	3.81	22.19	15.37	369.48	6.80	1.722	0.0	0.00	6.915	34.340	34.046	119.20	11.60	-38.583	6.2134
EQU	128	13/12/11	00:02:51	23:02:51	-46.8159	4.3247	6.81	NaN	12738537.00	380.52	13486004.00	0.12	29.03	1019.73	1019.82	-0.32	2.96	104.89	68.00	-55.14	9.82	9.63	9.85	0.35	4.19	22.12	15.37	370.00	6.80	1.700	0.0	0.00	6.917	34.340	34.045	119.00	11.58	-38.583	6.2140
EQU	0	13/12/11	00:04:20	23:04:21	-46.8196	4.3213	6.81	NaN	12759377.00	382.62	13503963.00	0.11	29.02	1019.64	1019.68	-0.35	2.95	105.69	68.00	-55.14	9.82	9.62	9.85	0.35	4.69	22.19	15.37	369.71	6.80	1.700	0.0	0.00	6.908	34.327	34.038	118.90	11.58	-38.583	6.2223
EQU	0	13/12/11	00:05:50	23:05:51	-46.8234	4.3180	6.81	NaN	12820034.00	382.55	13513875.00	0.11	29.00	1019.74	1019.73	-0.38	2.95	114.81	68.00	-55.12	9.82	9.62	9.85	0.35	4.69	22.19	15.37	369.75	6.80	1.699	0.0	0.00	6.908	34.339	34.052	118.90	11.58	-38.583	6.2280
EQU	0	13/12/11	00:07:20	23:07:21	-46.8272	4.3147	6.82	NaN	12761511.00	381.58	13541017.00	0.11	28.99	1019.61	1019.76	-0.31	2.95	111.46	68.00	-55.11	9.82	9.63	9.85	0.35	4.69	22.19	15.37	369.97	6.81	1.724	0.0	0.00	6.916	34.342	34.047	118.90	11.57	-38.583	6.2278
EQU	128	13/12/11	00:08:50	23:08:51	-46.8310	4.3114	6.82	NaN	12762307.00	380.72	13516262.00	0.11	28.97	1019.68	1019.68	-0.37	2.97	109.30	68.00	-55.12	9.82	9.62	9.85	0.35	4.69	22.12	15.37	369.12	6.81	1.709	0.0	0.00	0.000	0.000	0.000	0.00	0.00	0.000	6.2362
EQU	0	13/12/11	00:10:20	23:10:21	-46.8348	4.3081	6.83	NaN	12811929.00	382.02	13531991.00	0.11	28.96	1019.63	1019.53	-0.28	2.95	108.99	68.00	-55.11	9.82	9.62	9.85	0.35	4.69	22.25	15.37	369.18	6.82	1.737	0.0	0.00	6.916	34.348	34.054	118.70	11.56	-38.583	6.2451
STD1-DRAIN	0	13/12/11	11:14:43	23:14:48	-46.8459	4.2973	6.82	0.00	13492814.00	-0.05	13522304.00	-0.31	28.91	1019.62	1019.67	-0.23	2.97	215.42	68.00	-55.10	9.82	9.62	9.85	0.35	4.94	22.06	15.37	371.00	6.81	1.817	0.0	0.00	6.919	34.360	34.064	119.00	11.58	-38.583	6.2332
STD2	0	13/12/11	11:19:34	23:19:39	-46.8578	4.2859	6.81	357.83	12772913.00	357.69	13512927.00	-0.29	28.89	1019.48	1019.69	-0.18	2.96	63.84	68.00	-55.17	9.82	9.63	9.85	0.35	4.69	22.19	15.37	370.60	6.80	1.800	0.0	0.00	6.908	34.340	34.054	118.90	11.58	-38.583	6.2222
STD3	0	13/12/11	11:24:03	23:24:08	-46.8688	4.2755	6.81	377.50	12738747.00	377.52	13507497.00	-0.29	28.87	1019.54	1019.75	-0.25	2.96	73.67	68.00	-55.10	9.82	9.63	9.85	0.36	4.75	22.12	15.37	372.14	6.80	1.769	0.0	0.00	6.905	34.333	34.049	119.10	11.60	-38.583	6.2137
STD4	0	13/12/11	11:28:32	23:28:37	-46.8799	4.2647	6.80	427.83	12728600.00	428.01	13569059.00	-0.29	28.85	1019.64	1019.66	-0.18	2.97	61.69	68.00	-55.10	9.82	9.62	9.85	0.36	5.00	22.12	15.37	370.68	6.79	1.792	0.0	0.00	6.903	34.325	34.042	118.80	11.57	-38.583	6.1853
ATM	0	13/12/11	11:33:03	23:33:08	-46.8913	4.2533	6.70	NaN	12817799.00	390.27	13502708.00	0.60	28.80	1019.56	1019.71	-0.19	2.97	111.52	68.00	-55.12	9.82	9.63	9.85	0.35	4.75	22.00	15.37	371.87	6.67	1.706	0.0	0.00	6.840	34.230	33.999	118.80	11.59	-38.583	6.0657
ATM	0	13/12/11	11:34:32	23:34:37	-46.8950	4.2499	6.67	NaN	12724653.00	390.95	13462303.00	0.61	28.79	1019.49	1019.38	-0.27	2.95	106.00	68.00	-55.12	9.82	9.63	9.85	0.36	4.69	21.94	15.37	371.60	6.66	1.748	0.0	0.00	6.792	34.207	34.021	118.90	11.61	-38.583	6.0681
ATM	128	13/12/11	11:36:02	23:36:07	-46.8987	4.2461	6.66	NaN	12726280.00	389.84	13463675.00	0.59	28.77	1019.41	1019.44	-0.15	2.97	107.11	68.00	-55.12	9.82	9.63	9.85	0.35	4.69	22.00	15.37	373.28	6.66	1.73
ATM	0	13/12/11	11:37:32	23:37:37	-46.9024	4.2422	6.67	NaN	12764384.00	390.13	13462888.00	0.58	28.76	1019.48	1019.77	-0.11	2.94	108.30	68.00	-55.11	9.82	9.62	9.85	0.35	4.75	22.06	15.37	372.00	6.66	1.694	0.0	0.00	6.770	34.215	34.052	119.00	11.62	-38.583	6.0654
ATM	0	13/12/11	11:39:02	23:39:07	-46.9059	4.2389	6.66	NaN	12760420.00	390.32	13448432.00	0.58	28.75	1019.44	1019.80	-0.18	2.96	110.63	68.00	-55.10	9.82	9.63	9.85	0.36	4.75	22.06	15.37	373.06	6.65	1.683	0.0	0.00	6.764	34.200	34.041	118.70	11.60	-38.583	6.0248
ATM	0	13/12/11	11:40:32	23:40:37	-46.9095	4.2356	6.63	NaN	12712869.00	390.61	13443474.00	0.57	28.74	1019.37	1019.42	-0.21	2.97	108.23	68.00	-55.10	9.82	9.63	9.85	0.36	4.81	22.00	15.37	374.67	6.61	1.490	0.0	0.00	6.783	34.176	33.996	118.40	11.57	-38.583	6.0006
ATM	128	13/12/11	11:42:02	23:42:07	-46.9131	4.2320	6.60	NaN	12749952.00	390.48	13507023.00	0.56	28.73	1019.30	1019.40	-0.78	2.96	110.12	68.00	-55.15	9.82	9.63	9.85	0.35	4.87	22.06	15.37	373.13	6.59	1.524	0.0	0.00	6.746	34.147	34.001	118.70	11.61	-38.583	6.0447
ATM-DRAIN	0	13/12/11	11:43:32	23:43:37	-46.9167	4.2284	6.62	NaN	12803452.00	390.25	13509262.00	0.56	28.72	1019.40	1019.56	-0.19	2.95	120.78	68.00	-55.15	9.82	9.63	9.85	0.36	4.94	22.06	15.37	372.56	6.62	1.700	0.0	0.00	6.749	34.175	34.029	118.70	11.60	-38.583	6.0667
ATM	128	13/12/11	11:45:24	23:45:29	-46.9213	4.2239	6.66	NaN	12780935.00	393.01	13478906.00	0.57	28.72	1019.46	1019.59	-0.13	2.96	131.88	68.00	-55.13	9.82	9.63	9.85	0.35	4.75	22.06	15.26	373.87	6.65	1.785	0.0	0.00	6.751	34.198	34.052	118.80	11.61	-38.583	6.0874
ATM	0	13/12/11	11:46:52	23:46:57	-46.9248	4.2203	6.67	NaN	12731224.00	393.66	13449138.00	0.56	28.71	1019.40	1019.41	-0.24	2.95	113.90	68.00	-55.08	9.82	9.63	9.85	0.35	4.75	22.00	15.37	373.63	6.66	1.806	0.0	0.00	6.787	34.210	34.030	118.70	11.59	-38.583	6.0986
EQU	128	13/12/11	11:51:49	23:51:54	-46.9371	4.2090	6.70	NaN	12760934.00	385.48	13532207.00	0.16	28.70	1019.50	1019.56	-0.34	2.96	118.17	68.00	-55.16	9.82	9.63	9.85	0.36	4.94	22.06	15.26	373.61	6.69	1.785	0.0	0.00	6.818	34.237	34.028	118.80	11.59	-38.583	6.1144
EQU	0	13/12/11	11:53:26	23:53:31	-46.9412	4.2054	6.70	NaN	12823020.00	377.03	13518064.00	0.16	28.70	1019.56	1019.50	-0.30	2.96	110.44	68.00	-55.16	9.82	9.63	9.85	0.36	3.75	22.06	15.26	372.55	6.69	1.813	0.0	0.00	6.809	34.241	34.042	118.80	11.60	-38.583	6.1183
EQU	128	13/12/11	11:54:55	23:55:00	-46.9448	4.2023	6.71	NaN	12768961.00	377.70	13501889.00	0.15	28.69	1019.39	1019.46	-0.28	2.97	108.23	68.00	-55.15	9.82	9.63	9.85	0.36	4.44	22.00	15.26	372.84	6.70	1.817	0.0	0.00	0.000	0.000	0.000	0.00	0.00	0.000	6.1172
EQU	0	13/12/11	11:56:26	23:56:31	-46.9485	4.1990	6.71	NaN	12778113.00	377.51	13496367.00	0.15	28.68	1019.29	1019.44	-0.27	2.95	107.61	68.00	-55.15	9.82	9.63	9.85	0.36	4.69	22.00	15.26	375.32	6.70	1.804	0.0	0.00	6.850	34.240	34.001	120.00	11.70	-38.583	6.1239
EQU	0	13/12/11	11:57:55	23:58:01	-46.9523	4.1957	6.71	NaN	12817638.00	377.12	13547167.00	0.14	28.67	1019.41	1019.44	-0.35	2.97	108.30	68.00	-55.16	9.82	9.63	9.85	0.36	4.69	22.06	15.26	374.47	6.70	1.805	0.0	0.00	6.842	34.242	34.010	120.40	11.75	-38.583	6.1289
EQU	16384	13/12/11	11:59:25	23:59:31	-46.9561	4.1923	6.71	NaN	12834632.00	376.81	13528845.00	0.14	28.66	1019.41	1019.35	-0.27	2.97	107.86	68.00	-55.17	9.82	9.63	9.85	0.36	4.75	22.00	15.26	373.11	6.70	1.842	0.0	0.00	6.847	34.248	34.012	120.60	11.76	-38.583	1259.0000
EQU	0	13/12/11	12:00:55	00:01:00	-46.9597	4.1891	6.72	NaN	12754924.00	376.25	13517191.00	0.14	28.66	1019.33	1019.45	-0.33	2.97	108.55	68.00	-55.16	9.82	9.62	9.85	0.36	4.75	22.06	15.26	372.62	6.71	1.794	0.0	0.00	6.848	34.249	34.012	120.60	11.76	-38.583	6.1297
EQU	0	13/12/11	02:02:28	00:02:30	-46.9635	4.1859	6.72	NaN	12716507.00	375.62	13469884.00	0.14	28.65	1019.22	1019.52	-0.38	2.96	109.68	68.00	-55.16	9.82	9.63	9.85	0.36	4.87	22.06	15.26	374.65	6.70	1.766	0.0	0.00	6.851	34.251	34.012	120.70	11.77	-38.583	6.1361
EQU	0	13/12/11	02:03:58	00:04:00	-46.9673	4.1825	6.72	NaN	12798447.00	374.94	13493392.00	0.14	28.65	1019.36	1019.29	-0.30	2.98	114.10	68.00	-55.17	9.82	9.63	9.85	0.36	5.00	22.00	15.26	373.04	6.71	1.787	0.0	0.00	6.857	34.259	34.015	120.70	11.77	-38.583	6.1383
EQU	128	13/12/11	02:05:28	00:05:30	-46.9711	4.1793	6.73	NaN	12717732.00	375.11	13483498.00	0.14	28.64	1019.25	1019.36	-0.85	2.98	106.93	68.00	-55.17	9.82	9.63	9.85	0.36	4.94	22.00	15.26	374.38	6.71	1.725	0.0	0.00	6.854	34.263	34.022	120.80	11.78	-38.583	6.1331
EQU	0	13/12/11	02:06:58	00:07:00	-46.9749	4.1759	6.73	NaN	12734246.00	375.23	13464463.00	0.14	28.64	1019.18	1019.33	-0.31	2.95	117.64	68.00	-55.17	9.82	9.63	9.85	0.36	4.87	22.00	15.26	373.48	6.72	1.540	0.0	0.00	6.849	34.256	34.020	120.70	11.77	-38.583	1342.0000
EQU	0	13/12/11	02:08:28	00:08:30	-46.9787	4.1726	6.73	NaN	12803410.00	375.98	13543796.00	0.13	28.63	1019.22	1019.15	-0.32	2.96	116.32	68.00	-55.17	9.82	9.63	9.85	0.36	4.81	22.00	15.16	371.69	6.72	1.456	0.0	0.00	6.849	34.265	34.029	120.60	11.76	-38.583	6.1309
EQU	0	13/12/11	02:09:58	00:10:00	-46.9824	4.1694	6.72	NaN	12753365.00	376.80	13499360.00	0.13	28.62	1019.15	1019.30	-0.33	2.97	115.92	68.00	-55.15	9.82	9.63	9.85	0.36	4.69	22.00	15.16	371.49	6.71	1.594	0.0	0.00	6.867	34.257	34.003	120.40	11.73	-38.583	6.1152
EQU	128	13/12/11	02:11:28	00:11:30	-46.9860	4.1660	6.71	NaN	12748813.00	376.75	13468294.00	0.13	28.61	1019.16	1019.25	-0.28	2.96	107.05	68.00	-55.15	9.82	9.63	9.85	0.36	3.69	22.06	15.16	372.72	6.70	1.593	0.0	0.00	6.838	34.246	34.019	120.40	11.75	-38.583	6.0949
EQU	0	13/12/11	02:12:58	00:13:01	-46.9894	4.1629	6.70	NaN	12783234.00	376.88	13482587.00	0.13	28.61	1019.15	1019.37	-0.37	2.96	109.36	68.00	-55.14	9.82	9.63	9.85	0.36	4.56	22.00	15.16	371.68	6.69	1.541	0.0	0.00	6.823	34.235	34.021	120.50	11.76	-38.583	6.0705
EQU	0	13/12/11	02:14:28	00:14:30	-46.9924	4.1602	6.67	NaN	12800548.00	377.52	13541847.00	0.13	28.60	1019.25	1019.28	-0.32	2.97	106.80	68.00	-55.17	9.82	9.63	9.85	0.35	4.75	21.94	15.16	371.12	6.66	1.562	0.0	0.00	6.821	34.212	33.997	120.30	11.74	-38.583	6.0546
