Type	error	Date	PC Time	 gps time	 latitude	 longitude	 equ temp	std val	 CO2 mv	 CO2 um/m	 H2O mv	 H2O mm/m	 licor temp	 licor press	 atm press	 equ press	 H2O flow	 licor flow	 equ pump	 vent flow	 atm cond	 equ cond	 drip 1	 drip 2	 cond temp	 dry box temp	 deck box temp	O2 um/l	O2 temp	Ch conc	Ch temp	Press	Temp	Cond	Sal	O2%	O2ppm	Temp2	TempIntake
EQU	0	13/12/11	02:15:58	00:16:00	-46.9951	4.1575	6.65	NaN	12810541.00	379.07	13513353.00	0.13	28.59	1019.21	1019.12	-0.31	2.96	107.11	68.00	-55.16	9.82	9.63	9.85	0.36	4.81	21.94	15.16	370.58	6.64	1.568	0.0	0.00	6.793	34.196	34.009	120.00	11.72	-38.583	6.0427
EQU	0	13/12/11	02:17:28	00:17:30	-46.9976	4.1552	6.64	NaN	12757466.00	381.70	13482510.00	0.13	28.59	1019.12	1019.20	-0.43	2.96	105.94	68.00	-55.15	9.82	9.63	9.85	0.36	4.81	21.94	15.16	0.00	0.00	1.552	0.0	0.00	6.782	34.183	34.005	120.00	11.72	-38.583	6.0348
EQU	0	13/12/11	02:18:56	00:18:58	-46.9999	4.1529	6.63	NaN	12738962.00	386.45	13524055.00	0.13	28.58	1019.02	1019.04	-0.40	2.96	104.59	68.00	-55.15	9.82	9.63	9.85	0.36	4.81	21.94	15.16	373.12	6.65	1.523	0.0	0.00	6.785	34.175	33.993	119.90	11.71	-38.583	6.0385
EQU	0	13/12/11	02:20:28	00:20:30	-47.0023	4.1505	6.63	NaN	12761706.00	388.17	13512015.00	0.13	28.58	1018.93	1019.01	-0.36	2.97	103.55	68.00	-55.15	9.82	9.63	9.85	0.35	4.87	22.00	15.16	373.89	6.63	1.533	0.0	0.00	6.768	34.180	34.014	119.90	11.71	-38.583	6.0357
EQU	128	13/12/11	02:21:58	00:22:01	-47.0047	4.1482	6.63	NaN	12747697.00	388.78	13531676.00	0.12	28.58	1018.93	1018.95	-0.37	2.96	104.40	68.00	-55.16	9.82	9.63	9.85	0.35	5.00	21.94	15.16	373.53	6.62	1.558	0.0	0.00	0.000	0.000	0.000	0.00	0.00	0.000	6.0340
EQU	0	13/12/11	02:23:28	00:23:31	-47.0072	4.1455	6.63	NaN	12747859.00	388.26	13521312.00	0.12	28.58	1018.77	1018.77	-0.21	2.95	104.59	68.00	-55.18	9.82	9.63	9.85	0.35	4.81	21.94	15.16	372.32	6.62	1.570	0.0	0.00	6.756	34.173	34.020	119.90	11.72	-38.583	6.0351
EQU	0	13/12/11	02:24:58	00:25:01	-47.0104	4.1428	6.63	NaN	12763367.00	388.49	13488896.00	0.12	28.57	1018.93	1019.09	-0.25	2.95	104.95	68.00	-55.18	9.82	9.63	9.85	0.36	4.69	21.87	15.16	371.67	6.61	1.539	0.0	0.00	6.758	34.169	34.013	119.80	11.71	-38.583	6.0374
EQU	0	13/12/11	02:26:29	00:26:31	-47.0139	4.1397	6.63	NaN	12726052.00	387.72	13478922.00	0.12	28.56	1018.72	1019.04	-0.37	2.97	104.47	68.00	-55.17	9.82	9.63	9.85	0.36	3.69	21.94	15.16	370.74	6.62	1.513	0.0	0.00	6.753	34.167	34.016	119.60	11.69	-38.583	6.0401
EQU	128	13/12/11	02:27:58	00:28:00	-47.0175	4.1365	6.63	NaN	12788923.00	386.45	13536636.00	0.12	28.57	1018.70	1018.81	-0.43	2.97	103.67	68.00	-55.17	9.82	9.63	9.85	0.36	4.56	21.94	15.16	371.41	6.62	1.587	0.0	0.00	6.743	34.166	34.024	119.40	11.67	-38.583	6.0419
EQU	0	13/12/11	02:29:29	00:29:31	-47.0213	4.1332	6.63	NaN	12759418.00	385.12	13474347.00	0.13	28.57	1018.72	1018.73	-0.42	2.97	104.40	68.00	-55.20	9.82	9.63	9.85	0.36	4.75	21.87	15.06	371.69	6.62	1.542	0.0	0.00	6.741	34.169	34.030	119.40	11.67	-38.583	6.0369
EQU	0	13/12/11	02:30:59	00:31:01	-47.0251	4.1298	6.63	NaN	12734570.00	384.88	13516067.00	0.12	28.57	1018.74	1018.88	-0.40	2.97	104.65	68.00	-55.19	9.82	9.63	9.85	0.36	4.75	21.94	15.06	371.44	6.61	1.556	0.0	0.00	6.748	34.169	34.023	119.30	11.66	-38.583	6.0334
EQU	0	13/12/11	02:32:29	00:32:31	-47.0290	4.1264	6.63	NaN	12735456.00	384.16	13494275.00	0.12	28.57	1018.74	1018.78	-0.37	2.96	104.83	68.00	-55.18	9.82	9.63	9.85	0.36	4.81	21.94	15.06	371.65	6.61	1.523	0.0	0.00	6.746	34.164	34.020	119.30	11.66	-38.583	6.0175
EQU	0	13/12/11	02:33:58	00:34:01	-47.0327	4.1231	6.61	NaN	12788322.00	383.74	13523454.00	0.12	28.57	1018.83	1018.88	-0.28	2.95	104.28	68.00	-55.17	9.82	9.63	9.85	0.36	4.94	21.94	15.06	371.07	6.61	1.499	0.0	0.00	6.733	34.152	34.019	119.30	11.67	-38.583	0.0000
EQU	0	13/12/11	02:35:28	00:35:30	-47.0364	4.1197	6.61	NaN	12802472.00	383.68	13510882.00	0.12	28.56	1018.78	1018.65	-0.31	2.98	104.34	68.00	-55.17	9.82	9.63	9.85	0.36	4.94	21.87	15.06	371.79	6.60	1.554	0.0	0.00	6.715	34.153	34.038	119.20	11.66	-38.583	6.0130
EQU	0	13/12/11	02:36:58	00:37:00	-47.0401	4.1163	6.60	NaN	12786178.00	383.12	13536392.00	0.12	28.55	1018.77	1018.79	-0.41	2.97	104.59	68.00	-55.16	9.82	9.63	9.85	0.36	4.81	21.87	15.06	371.63	6.59	1.521	0.0	0.00	6.716	34.151	34.034	119.20	11.66	-38.583	6.0006
EQU	128	13/12/11	02:38:28	00:38:30	-47.0439	4.1128	6.60	NaN	12751337.00	383.60	13504803.00	0.12	28.54	1018.69	1018.80	-0.36	2.96	105.14	68.00	-55.17	9.82	9.63	9.85	0.36	4.81	21.87	15.06	371.16	6.58	1.456	0.0	0.00	6.718	34.148	34.029	119.20	11.66	-38.583	5.9620
EQU	0	13/12/11	02:39:59	00:40:01	-47.0476	4.1095	6.57	NaN	12773457.00	384.37	13472340.00	0.12	28.53	1018.63	1018.77	-0.33	2.97	104.71	68.00	-55.18	9.82	9.63	9.85	0.36	4.69	21.87	15.06	371.98	6.56	1.415	0.0	0.00	6.713	34.122	34.005	119.20	11.66	-38.583	5.9719
EQU	0	13/12/11	02:41:28	00:41:30	-47.0512	4.1063	6.57	NaN	12718370.00	384.91	13459642.00	0.12	28.52	1018.62	1018.90	-0.33	2.97	105.75	68.00	-55.17	9.82	9.63	9.85	0.36	4.75	21.87	15.06	373.58	6.56	1.406	0.0	0.00	6.702	34.116	34.009	119.50	11.70	-38.583	5.9365
EQU	0	13/12/11	02:42:58	00:43:00	-47.0548	4.1030	6.54	NaN	12845830.00	384.15	13572381.00	0.12	28.52	1018.71	1018.44	-0.33	2.96	103.74	68.00	-55.18	9.82	9.63	9.85	0.36	4.75	21.94	15.06	373.99	6.52	1.409	0.0	0.00	6.657	34.083	34.019	119.80	11.73	-38.583	5.9288
EQU	384	13/12/11	02:44:30	00:44:32	-47.0585	4.0996	0.00	NaN	12781983.00	383.73	13508001.00	0.12	28.52	1018.55	1018.67	-0.34	2.97	104.34	68.00	-55.19	9.82	9.63	9.85	0.36	4.69	21.87	15.06	372.72	6.52	1.373	0.0	0.00	6.642	34.082	34.032	119.70	11.73	-38.583	5.9205
EQU	0	13/12/11	02:45:58	00:46:00	-47.0622	4.0963	6.52	NaN	12764776.00	384.19	13526134.00	0.12	28.52	1018.69	1018.68	-0.42	2.97	104.40	68.00	-55.18	9.82	9.63	9.85	0.36	4.69	21.87	15.06	372.54	6.51	1.355	0.0	0.00	6.634	34.070	34.027	119.70	11.73	-38.583	5.9232
EQU	0	13/12/11	02:47:28	00:47:30	-47.0659	4.0929	6.52	NaN	12732586.00	384.45	13490033.00	0.13	28.52	1018.57	1018.77	-0.34	2.97	105.57	68.00	-55.16	9.82	9.63	9.85	0.36	4.75	21.87	15.06	372.66	6.51	1.337	0.0	0.00	6.631	34.071	34.031	119.60	11.72	-38.583	262.0000
EQU	0	13/12/11	02:48:58	00:49:00	-47.0697	4.0894	6.52	NaN	12757905.00	384.49	13483726.00	0.12	28.51	1018.52	1018.62	-0.31	2.96	105.32	68.00	-55.17	9.82	9.63	9.85	0.36	4.75	21.87	15.06	371.81	6.51	1.408	0.0	0.00	6.630	34.070	34.030	119.60	11.73	-38.583	5.9309
EQU	0	13/12/11	02:50:28	00:50:30	-47.0734	4.0860	6.52	NaN	12779291.00	383.31	13527210.00	0.13	28.50	1018.50	1018.39	-0.34	2.97	105.14	68.00	-55.17	9.82	9.63	9.85	0.36	4.75	21.81	15.06	371.25	6.52	1.443	0.0	0.00	6.633	34.073	34.031	119.60	11.72	-38.583	5.9567
EQU	0	13/12/11	02:51:58	00:52:00	-47.0770	4.0825	6.54	NaN	12836798.00	382.22	13550544.00	0.12	28.50	1018.74	1018.59	-0.31	2.96	105.63	68.00	-55.19	9.82	9.63	9.85	0.36	4.81	21.87	14.96	372.20	6.53	1.501	0.0	0.00	6.636	34.093	34.050	119.50	11.71	-38.583	5.9700
EQU	0	13/12/11	02:53:28	00:53:30	-47.0806	4.0792	6.55	NaN	12782834.00	381.50	13492508.00	0.13	28.49	1018.69	1018.84	-0.31	2.96	104.83	68.00	-55.18	9.82	9.63	9.85	0.36	4.87	21.87	14.96	372.72	6.54	1.563	0.0	0.00	6.654	34.107	34.048	119.50	11.70	-38.583	5.9873
EQU	0	13/12/11	02:54:59	00:55:01	-47.0842	4.0757	6.57	NaN	12795665.00	380.38	13510702.00	0.13	28.49	1018.66	1018.67	-0.27	2.96	104.83	68.00	-55.18	9.82	9.63	9.85	0.36	5.00	21.94	14.96	373.01	6.57	1.568	0.0	0.00	6.667	34.123	34.053	119.60	11.71	-38.583	5.9950
EQU	0	13/12/11	02:56:28	00:56:30	-47.0878	4.0724	6.58	NaN	12740427.00	380.11	13486896.00	0.13	28.48	1018.71	1018.97	-0.28	2.97	105.26	68.00	-55.15	9.82	9.63	9.85	0.36	5.00	21.87	14.96	373.21	6.58	1.574	0.0	0.00	6.678	34.134	34.054	119.50	11.70	-38.583	5.9931
EQU	0	13/12/11	02:57:58	00:58:00	-47.0914	4.0690	6.58	NaN	12787592.00	379.53	13530168.00	0.13	28.48	1018.65	1018.69	-0.30	2.96	105.57	68.00	-55.16	9.82	9.63	9.85	0.36	4.94	21.87	14.96	372.21	6.57	1.564	0.0	0.00	6.681	34.133	34.050	119.70	11.71	-38.583	5.9897
EQU	0	13/12/11	02:59:28	00:59:30	-47.0951	4.0657	6.58	NaN	12771469.00	380.00	13494251.00	0.13	28.48	1018.75	1018.85	-0.28	2.97	105.14	68.00	-55.15	9.82	9.63	9.85	0.36	3.69	21.94	14.96	376.36	6.57	1.513	0.0	0.00	6.679	34.139	34.058	119.80	11.72	-38.583	5.9904
EQU	0	13/12/11	03:00:58	01:01:00	-47.0988	4.0624	6.58	NaN	12726380.00	382.21	13494187.00	0.13	28.51	1018.57	1018.75	-0.39	2.97	106.06	68.00	-55.16	9.82	9.63	9.85	0.36	4.31	22.06	14.96	373.28	6.57	1.480	0.0	0.00	6.675	34.133	34.056	120.00	11.74	-38.583	5.9849
EQU	0	13/12/11	03:02:28	01:02:30	-47.1025	4.0591	6.58	NaN	12817642.00	388.89	13561970.00	0.13	28.51	1018.61	1018.46	-0.28	2.96	105.57	68.00	-55.15	9.82	9.63	9.85	0.36	4.62	22.00	14.96	372.28	6.56	1.470	0.0	0.00	6.676	34.135	34.057	119.70	11.72	-38.583	5.9804
EQU	0	13/12/11	03:03:58	01:04:00	-47.1063	4.0559	6.57	NaN	12769752.00	395.06	13538233.00	0.13	28.52	1018.56	1018.69	-0.41	2.98	106.06	68.00	-55.17	9.82	9.63	9.85	0.36	4.69	22.00	14.96	372.23	6.57	1.470	0.0	0.00	6.667	34.121	34.050	119.70	11.72	-38.583	5.9767
EQU	128	13/12/11	03:05:28	01:05:30	-47.1100	4.0525	6.57	NaN	12704567.00	396.44	13505439.00	0.13	28.51	1018.57	1018.59	-0.32	2.96	106.00	68.00	-55.19	9.82	9.63	9.85	0.36	4.69	21.94	14.96	372.28	6.55	1.467	0.0	0.00	6.671	34.124	34.049	119.60	11.70	-38.583	5.9648
EQU	0	13/12/11	03:06:58	01:07:00	-47.1138	4.0491	6.56	NaN	12721936.00	394.88	13478144.00	0.13	28.50	1018.48	1018.65	-0.34	2.98	105.51	68.00	-55.19	9.82	9.63	9.85	0.36	4.75	21.81	14.96	372.43	6.54	1.452	0.0	0.00	6.667	34.117	34.045	119.50	11.70	-38.583	5.9507
EQU	0	13/12/11	03:08:28	01:08:30	-47.1176	4.0457	6.55	NaN	12784027.00	393.20	13497990.00	0.13	28.49	1018.51	1018.64	-0.37	2.97	105.88	68.00	-55.20	9.82	9.63	9.85	0.36	4.81	21.81	14.96	372.53	6.54	1.419	0.0	0.00	6.649	34.112	34.058	119.50	11.71	-38.583	5.9511
EQU	0	13/12/11	03:09:58	01:10:00	-47.1213	4.0424	6.54	NaN	12779593.00	391.80	13512957.00	0.12	28.48	1018.57	1018.56	-0.31	2.97	107.42	68.00	-55.19	9.82	9.63	9.85	0.36	4.81	21.81	14.96	371.51	6.53	1.404	0.0	0.00	6.641	34.101	34.054	119.40	11.70	-38.583	5.9505
EQU	128	13/12/11	03:11:28	01:11:30	-47.1249	4.0391	6.55	NaN	12801335.00	393.10	13525916.00	0.13	28.49	1018.60	1018.81	-0.36	2.96	117.11	68.00	-55.18	9.82	9.63	9.85	0.36	4.87	21.87	14.96	373.12	6.53	1.426	0.0	0.00	6.644	34.098	34.048	119.40	11.69	-38.583	5.9404
EQU	0	13/12/11	03:12:58	01:13:00	-47.1286	4.0360	6.54	NaN	12803892.00	395.77	13566870.00	0.12	28.49	1018.53	1018.44	-0.24	2.95	112.80	68.00	-55.18	9.82	9.63	9.85	0.36	5.00	21.87	14.96	372.71	6.53	1.404	0.0	0.00	6.638	34.092	34.047	119.30	11.69	-38.583	5.9351
