Type	error	Date	PC Time	 gps time	 latitude	 longitude	 equ temp	std val	 CO2 mv	 CO2 um/m	 H2O mv	 H2O mm/m	 licor temp	 licor press	 atm press	 equ press	 H2O flow	 licor flow	 equ pump	 vent flow	 atm cond	 equ cond	 drip 1	 drip 2	 cond temp	 dry box temp	 deck box temp	O2 um/l	O2 temp	Ch conc	Ch temp	Press	Temp	Cond	Sal	O2%	O2ppm	Temp2	TempIntake
EQU	0	16/12/11	19:35:15	19:35:17	-61.0452	0.1312	-1.00	NaN	12767862.00	408.63	13507340.00	0.14	27.02	965.47	965.07	-0.44	3.32	81.74	43.00	-55.35	9.82	9.64	9.85	0.37	5.00	20.12	7.13	394.77	-0.90	0.370	0.0	0.00	3.733	29.149	31.229	112.20	12.02	-38.583	-1.6915
EQU	0	16/12/11	19:36:44	19:36:46	-61.0481	0.1341	-1.00	NaN	12761873.00	410.74	13508548.00	0.14	27.01	965.55	965.15	-0.29	3.32	82.89	43.00	-55.38	9.82	9.64	9.85	0.37	4.81	20.12	7.13	394.97	-0.91	0.377	0.0	0.00	3.750	29.134	31.195	112.10	12.00	-38.583	-1.6859
EQU	0	16/12/11	19:38:14	19:38:16	-61.0511	0.1370	-1.00	NaN	12765972.00	410.85	13509147.00	0.14	27.00	965.52	965.28	-0.35	3.32	80.24	43.00	-55.36	9.82	9.64	9.85	0.37	4.75	20.12	7.13	395.18	-0.91	0.376	0.0	0.00	3.761	29.109	31.154	112.10	12.00	-38.583	-1.6837
EQU	0	16/12/11	19:39:43	19:39:45	-61.0540	0.1399	-1.00	NaN	12766040.00	410.98	13503428.00	0.14	26.99	965.47	965.16	-0.38	3.32	80.09	43.00	-55.34	9.82	9.64	9.85	0.37	4.69	20.06	7.13	395.50	-0.92	0.384	0.0	0.00	3.773	29.092	31.124	111.90	11.98	-38.583	-1.6746
EQU	0	16/12/11	19:41:14	19:41:16	-61.0568	0.1396	-0.99	NaN	12762095.00	410.72	13509350.00	0.14	26.99	965.44	964.97	-0.42	3.32	79.88	43.00	-55.33	9.82	9.64	9.85	0.37	4.62	20.06	7.23	395.60	-0.91	0.388	0.0	0.00	3.784	29.116	31.141	112.00	11.98	-38.583	6592.0000
EQU	0	16/12/11	19:42:44	19:42:46	-61.0597	0.1387	-0.98	NaN	12761435.00	410.74	13516066.00	0.14	26.98	965.49	964.95	-0.31	3.31	81.74	43.00	-55.37	9.82	9.64	9.85	0.37	4.62	20.06	7.23	395.51	-0.88	0.382	0.0	0.00	3.789	29.113	31.133	111.80	11.96	-38.583	-1.6574
EQU	128	16/12/11	19:44:14	19:44:16	-61.0626	0.1372	-0.98	NaN	12766386.00	410.82	13504284.00	0.14	26.97	965.40	964.94	-0.25	3.32	80.76	43.00	-55.39	9.82	9.64	9.85	0.37	4.62	20.06	7.33	395.74	-0.89	0.384	0.0	0.00	3.797	29.133	31.148	111.90	11.97	-38.583	-1.6593
EQU	0	16/12/11	19:45:43	19:45:46	-61.0655	0.1354	-0.98	NaN	12765148.00	410.92	13509311.00	0.14	26.96	965.51	964.96	-0.28	3.31	82.00	43.00	-55.38	9.82	9.64	9.85	0.37	4.81	20.12	7.33	395.84	-0.89	0.382	0.0	0.00	3.801	29.165	31.183	111.80	11.95	-38.583	-1.6682
EQU	0	16/12/11	19:47:14	19:47:16	-61.0685	0.1338	-0.98	NaN	12761969.00	410.57	13514614.00	0.14	26.95	965.45	964.94	-0.34	3.31	80.50	43.00	-55.36	9.82	9.64	9.85	0.37	5.00	20.06	7.33	395.73	-0.89	0.397	0.0	0.00	3.809	29.124	31.127	111.80	11.95	-38.583	-1.6586
EQU	0	16/12/11	19:48:44	19:48:46	-61.0715	0.1322	-0.98	NaN	12767238.00	410.21	13500172.00	0.14	26.94	965.43	965.04	-0.26	3.31	82.26	43.00	-55.36	9.83	9.64	9.85	0.37	4.94	20.06	7.43	395.83	-0.90	0.393	0.0	0.00	3.811	29.121	31.121	111.80	11.96	-38.583	-1.6403
EQU	128	16/12/11	19:50:14	19:50:16	-61.0744	0.1301	-0.96	NaN	12766896.00	410.19	13505978.00	0.14	26.93	965.36	965.02	-0.28	3.30	81.02	43.00	-55.36	9.82	9.64	9.85	0.37	4.81	20.00	7.43	396.00	-0.89	0.389	0.0	0.00	0.000	0.000	0.000	0.00	0.00	0.000	-1.6387
EQU	0	16/12/11	19:51:44	19:51:46	-61.0774	0.1279	-0.96	NaN	12766810.00	410.32	13506916.00	0.14	26.92	965.40	965.02	-0.29	3.29	80.60	43.00	-55.38	9.82	9.64	9.85	0.37	4.75	20.00	7.43	396.18	-0.89	0.396	0.0	0.00	3.801	29.129	31.140	112.00	11.98	-38.583	-1.6248
EQU	0	16/12/11	19:53:14	19:53:16	-61.0803	0.1257	-0.95	NaN	12765892.00	410.50	13508202.00	0.14	26.91	965.42	964.94	-0.25	3.31	80.45	43.00	-55.37	9.82	9.64	9.85	0.37	4.62	20.00	7.43	395.76	-0.86	0.403	0.0	0.00	3.800	29.143	31.157	112.10	11.98	-38.583	-1.6169
EQU	0	16/12/11	19:54:44	19:54:46	-61.0832	0.1235	-0.94	NaN	12766546.00	410.45	13503199.00	0.14	26.90	965.44	964.98	-0.40	3.29	81.22	43.00	-55.36	9.83	9.64	9.85	0.37	4.56	20.00	7.43	395.95	-0.86	0.396	0.0	0.00	3.786	29.121	31.145	112.10	11.99	-38.583	-1.6211
EQU	0	16/12/11	19:56:14	19:56:16	-61.0860	0.1208	-0.95	NaN	12762640.00	410.16	13508425.00	0.14	26.89	965.37	964.76	-0.32	3.31	80.40	43.00	-55.36	9.83	9.64	9.85	0.37	4.62	19.94	7.43	395.74	-0.85	0.400	0.0	0.00	3.775	29.094	31.123	112.20	12.00	-38.583	-1.6171
EQU	0	16/12/11	19:57:44	19:57:46	-61.0888	0.1181	-0.94	NaN	12761019.00	410.66	13510520.00	0.14	26.88	965.36	964.79	-0.32	3.30	81.90	43.00	-55.37	9.82	9.64	9.85	0.37	4.69	19.94	7.43	396.14	-0.86	0.404	0.0	0.00	3.754	29.079	31.127	112.20	12.01	-38.583	-1.6245
EQU	0	16/12/11	19:59:14	19:59:16	-61.0917	0.1153	-0.94	NaN	12760515.00	412.52	13509128.00	0.14	26.86	965.28	964.71	-0.36	3.29	81.12	43.00	-55.38	9.82	9.64	9.85	0.37	3.44	20.00	7.43	395.41	-0.82	0.414	0.0	0.00	3.737	29.074	31.137	112.30	12.03	-38.583	-1.6453
EQU	128	16/12/11	20:00:44	20:00:46	-61.0945	0.1125	-0.96	NaN	12755286.00	414.55	13514270.00	0.14	26.85	965.37	964.78	-0.31	3.29	80.50	43.00	-55.36	9.82	9.64	9.85	0.37	4.25	19.87	7.43	395.90	-0.87	0.410	0.0	0.00	3.734	29.090	31.158	112.20	12.02	-38.583	-1.6639
EQU	0	16/12/11	20:02:14	20:02:16	-61.0973	0.1097	-0.98	NaN	12756462.00	414.12	13511235.00	0.14	26.84	965.29	964.59	-0.35	3.30	79.99	43.00	-55.36	9.82	9.64	9.85	0.37	4.56	19.87	7.43	396.03	-0.90	0.408	0.0	0.00	3.724	29.057	31.128	112.20	12.03	-38.583	-1.6659
EQU-DRAIN	0	16/12/11	20:03:44	20:03:46	-61.1000	0.1064	-0.98	NaN	12765319.00	412.48	13506214.00	0.14	26.82	965.29	964.77	-0.35	3.30	79.63	43.00	-55.37	9.82	9.64	9.85	0.37	4.62	19.75	7.43	395.79	-0.90	0.417	0.0	0.00	3.718	29.043	31.117	112.20	12.03	-38.583	-1.6717
EQU	0	16/12/11	20:05:36	20:05:38	-61.1032	0.1022	-0.99	NaN	12767955.00	408.04	13507211.00	0.14	26.79	965.37	964.82	-0.31	3.29	81.27	43.00	-55.39	9.82	9.64	9.85	0.37	4.69	19.56	7.43	396.04	-0.91	0.424	0.0	0.00	3.709	29.024	31.104	112.20	12.03	-38.583	-1.6777
EQU	0	16/12/11	20:07:04	20:07:06	-61.1057	0.0987	-1.00	NaN	12764048.00	409.26	13511131.00	0.14	26.76	965.32	964.71	-0.35	3.29	79.83	43.00	-55.39	9.82	9.64	9.85	0.37	4.94	19.50	7.43	396.16	-0.92	0.415	0.0	0.00	3.701	29.000	31.084	112.10	12.03	-38.583	-1.6769
EQU	0	16/12/11	20:08:34	20:08:36	-61.1083	0.0954	-1.00	NaN	12766205.00	408.82	13508692.00	0.14	26.74	965.32	964.79	-0.35	3.29	80.35	43.00	-55.38	9.82	9.64	9.85	0.37	3.37	19.50	7.43	395.96	-0.93	0.420	0.0	0.00	3.700	29.036	31.126	112.10	12.02	-38.583	-1.6874
EQU	128	16/12/11	20:10:05	20:10:07	-61.1113	0.0932	-1.01	NaN	12765987.00	408.32	13508484.00	0.14	26.72	965.34	964.83	-0.37	3.29	80.24	43.00	-55.37	9.82	9.64	9.85	0.37	3.94	19.56	7.43	396.09	-0.93	0.421	0.0	0.00	3.693	29.021	31.115	112.10	12.03	-38.583	-1.6797
EQU	0	16/12/11	20:11:34	20:11:36	-61.1144	0.0916	-1.01	NaN	12767847.00	407.78	13501578.00	0.14	26.72	965.32	964.96	-0.33	3.29	79.32	43.00	-55.35	9.82	9.64	9.85	0.37	4.62	19.62	7.43	395.68	-0.93	0.414	0.0	0.00	3.689	29.014	31.111	112.10	12.02	-38.583	-1.6768
EQU	0	16/12/11	20:13:04	20:13:06	-61.1172	0.0907	-1.01	NaN	12767506.00	407.29	13508279.00	0.14	26.70	965.32	964.88	-0.36	3.27	81.22	43.00	-55.38	9.82	9.64	9.85	0.37	4.94	19.62	7.43	396.05	-0.93	0.429	0.0	0.00	3.684	29.001	31.100	112.10	12.02	-38.583	-1.7203
EQU	128	16/12/11	20:14:34	20:14:36	-61.1196	0.0898	-1.04	NaN	12769837.00	406.94	13509428.00	0.14	26.68	965.27	964.88	-0.37	3.28	80.24	43.00	-55.41	9.82	9.64	9.85	0.37	3.37	19.69	7.43	398.13	-0.95	0.445	0.0	0.00	3.678	28.999	31.105	112.10	12.02	-38.583	-1.7214
EQU	0	16/12/11	20:16:04	20:16:06	-61.1223	0.0890	-1.05	NaN	12767540.00	405.97	13514253.00	0.14	26.68	965.31	964.81	-0.35	3.26	82.11	43.00	-55.38	9.82	9.64	9.85	0.37	3.94	19.69	7.33	399.78	-0.94	0.427	0.0	0.00	3.660	28.983	31.102	112.00	12.02	-38.583	-1.7032
EQU	0	16/12/11	20:17:34	20:17:36	-61.1252	0.0881	-1.03	NaN	12771998.00	406.07	13508179.00	0.14	26.67	965.27	964.76	-0.28	3.28	80.29	43.00	-55.39	9.82	9.64	9.85	0.37	4.56	19.62	7.33	397.17	-0.95	0.427	0.0	0.00	3.648	28.936	31.058	112.10	12.04	-38.583	-1.6972
EQU	0	16/12/11	20:19:03	20:19:05	-61.1280	0.0873	-1.02	NaN	12770607.00	406.48	13508290.00	0.13	26.65	965.33	965.01	-0.34	3.28	81.53	43.00	-55.39	9.82	9.64	9.85	0.37	5.00	19.62	7.33	396.15	-0.94	0.456	0.0	0.00	3.672	28.928	31.026	112.10	12.04	-38.583	-1.7289
EQU	128	16/12/11	20:20:34	20:20:36	-61.1307	0.0856	0.00	NaN	12766669.00	406.18	13512795.00	0.14	26.64	965.25	964.81	-0.37	3.27	80.86	43.00	-55.41	9.82	9.64	9.85	0.37	3.44	19.62	7.33	402.54	-0.95	0.456	0.0	0.00	3.663	28.903	31.004	112.30	12.06	-38.583	-1.7781
EQU	0	16/12/11	20:22:04	20:22:06	-61.1332	0.0840	-1.04	NaN	12770021.00	406.56	13504469.00	0.14	26.62	965.28	964.91	-0.33	3.26	80.35	43.00	-55.40	9.82	9.64	9.85	0.37	4.06	19.62	7.33	409.47	-0.96	0.473	0.0	0.00	3.629	28.871	30.999	112.40	12.08	-38.583	-1.7492
EQU	0	16/12/11	20:23:34	20:23:36	-61.1360	0.0843	-1.05	NaN	12771348.00	406.07	13505705.00	0.13	26.61	965.35	964.97	-0.28	3.28	82.32	43.00	-55.39	9.82	9.64	9.85	0.37	4.56	19.62	7.23	405.89	-0.97	0.436	0.0	0.00	3.603	28.840	30.987	112.50	12.10	-38.583	-1.7017
EQU	0	16/12/11	20:25:04	20:25:06	-61.1388	0.0854	-1.03	NaN	12769970.00	406.57	13509284.00	0.13	26.59	965.32	964.96	-0.28	3.24	80.45	43.00	-55.41	9.82	9.64	9.85	0.37	4.81	19.62	7.23	400.73	-0.94	0.431	0.0	0.00	3.579	28.930	31.117	112.60	12.11	-38.583	-1.7794
EQU	0	16/12/11	20:26:34	20:26:36	-61.1411	0.0876	-1.10	NaN	12768207.00	407.29	13510365.00	0.13	26.57	965.25	964.79	-0.28	3.27	81.48	43.00	-55.40	9.82	9.64	9.85	0.37	4.94	19.62	7.23	422.94	-1.01	0.494	0.0	0.00	3.593	28.861	31.021	112.60	12.12	-38.583	-1.7386
EQU	0	16/12/11	20:28:04	20:28:06	-61.1433	0.0889	-1.07	NaN	12767855.00	405.89	13512214.00	0.14	26.56	965.28	964.82	-0.37	3.27	80.14	43.00	-55.38	9.82	9.64	9.85	0.37	3.50	19.62	7.23	409.61	-0.98	0.472	0.0	0.00	3.553	28.832	31.025	112.70	12.13	-38.583	-1.7425
EQU	0	16/12/11	20:29:34	20:29:36	-61.1455	0.0899	-1.07	NaN	12769008.00	406.88	13507946.00	0.14	26.54	965.27	964.92	-0.31	3.26	81.43	43.00	-55.38	9.82	9.64	9.85	0.37	3.75	19.56	7.13	404.84	-0.99	0.557	0.0	0.00	3.577	28.851	31.024	112.50	12.11	-38.583	-1.7647
EQU	128	16/12/11	20:31:04	20:31:06	-61.1479	0.0897	-1.09	NaN	12769648.00	406.57	13511402.00	0.14	26.53	965.24	964.92	-0.38	3.27	81.27	43.00	-55.39	9.83	9.64	9.85	0.37	4.75	19.56	7.13	407.04	-1.01	0.486	0.0	0.00	3.615	28.858	30.998	112.40	12.09	-38.583	-1.7656
EQU	0	16/12/11	20:32:34	20:32:36	-61.1507	0.0885	-1.09	NaN	12768381.00	407.07	13504026.00	0.14	26.52	965.26	964.83	-0.28	3.28	83.63	43.00	-55.38	9.83	9.64	9.85	0.37	4.94	19.62	7.13	402.94	-1.00	0.438	0.0	0.00	3.589	28.850	31.012	112.60	12.12	-38.583	-1.7910
EQU-DRAIN	0	16/12/11	20:34:04	20:34:06	-61.1534	0.0881	-1.09	NaN	12766710.00	407.72	13508630.00	0.14	26.51	965.16	964.74	-0.29	3.25	81.64	43.00	-55.38	9.82	9.64	9.85	0.37	3.50	19.62	7.13	415.77	-1.00	0.508	0.0	0.00	3.578	28.835	31.006	112.80	12.14	-38.583	-1.7834
EQU	0	16/12/11	20:35:55	20:35:57	-61.1562	0.0867	-1.11	NaN	12771622.00	404.18	13512042.00	0.14	26.50	965.14	964.72	-0.31	3.26	80.45	43.00	-55.40	9.82	9.64	9.85	0.37	4.12	19.62	7.13	416.77	-1.01	0.443	0.0	0.00	3.567	28.809	30.984	112.90	12.15	-38.583	-1.7748
EQU	0	16/12/11	20:37:23	20:37:25	-61.1583	0.0858	-1.09	NaN	12768304.00	406.95	13508372.00	0.14	26.48	965.27	964.75	-0.30	3.22	81.02	43.00	-55.40	9.82	9.64	9.85	0.37	4.56	19.62	7.13	408.50	-1.00	0.482	0.0	0.00	3.558	28.801	30.984	112.90	12.16	-38.583	-1.7994
EQU	0	16/12/11	20:38:54	20:38:56	-61.1607	0.0854	-1.12	NaN	12769129.00	406.56	13508565.00	0.14	26.46	965.23	964.77	-0.30	3.26	81.59	43.00	-55.40	9.82	9.64	9.85	0.37	4.81	19.56	7.03	424.22	-1.03	0.452	0.0	0.00	3.572	28.790	30.958	112.90	12.16	-38.583	-1.8136
EQU	128	16/12/11	20:40:24	20:40:26	-61.1633	0.0849	-1.12	NaN	12768046.00	407.08	13508204.00	0.14	26.45	965.25	964.76	-0.40	3.25	81.12	43.00	-55.40	9.82	9.64	9.85	0.37	4.87	19.56	7.03	413.74	-1.04	0.468	0.0	0.00	0.000	0.000	0.000	0.00	0.00	0.000	-1.8074
EQU	0	16/12/11	20:41:54	20:41:56	-61.1660	0.0842	-1.12	NaN	12770758.00	406.91	13501631.00	0.14	26.44	965.27	964.91	-0.25	3.26	81.69	43.00	-55.41	9.83	9.64	9.85	0.37	4.69	19.56	7.03	411.45	-1.04	0.463	0.0	0.00	3.536	28.758	30.954	113.10	12.19	-38.583	-1.8073
EQU	0	16/12/11	20:43:24	20:43:26	-61.1683	0.0835	-1.12	NaN	12767333.00	407.13	13512127.00	0.14	26.43	965.18	964.72	-0.32	3.25	82.37	43.00	-55.42	9.83	9.64	9.85	0.37	4.62	19.56	7.03	412.33	-1.03	0.456	0.0	0.00	3.519	28.739	30.946	113.10	12.19	-38.583	-1.7982
EQU	0	16/12/11	20:44:54	20:44:56	-61.1706	0.0819	-1.12	NaN	12769207.00	406.99	13505809.00	0.14	26.42	965.23	964.70	-0.40	3.24	80.29	43.00	-55.42	9.83	9.64	9.85	0.37	4.56	19.56	6.92	406.16	-1.02	0.454	0.0	0.00	3.516	28.741	30.953	113.10	12.19	-38.583	-1.7989
EQU	0	16/12/11	20:46:24	20:46:26	-61.1730	0.0798	-1.12	NaN	12766907.00	407.34	13508419.00	0.14	26.41	965.08	964.57	-0.34	3.25	80.91	43.00	-55.40	9.82	9.64	9.85	0.37	4.62	19.56	7.03	403.89	-1.02	0.524	0.0	0.00	3.504	28.735	30.957	113.10	12.19	-38.583	-1.8083
EQU	0	16/12/11	20:47:54	20:47:56	-61.1751	0.0775	-1.11	NaN	12771986.00	407.19	13500379.00	0.14	26.41	965.25	964.63	-0.32	3.23	79.58	43.00	-55.40	9.83	9.64	9.85	0.37	4.94	19.62	6.92	402.33	-1.03	0.492	0.0	0.00	3.480	28.709	30.948	113.10	12.21	-38.583	-1.8321
EQU	0	16/12/11	20:49:24	20:49:26	-61.1769	0.0743	-1.12	NaN	12769026.00	406.55	13507929.00	0.14	26.39	965.09	964.54	-0.41	3.24	79.88	43.00	-55.39	9.83	9.64	9.85	0.37	3.37	19.62	6.92	405.44	-1.05	0.540	0.0	0.00	3.483	28.726	30.966	113.20	12.22	-38.583	-1.7977
EQU	128	16/12/11	20:50:54	20:50:56	-61.1795	0.0717	-1.12	NaN	12769910.00	406.12	13505095.00	0.14	26.38	965.15	964.72	-0.28	3.25	79.93	43.00	-55.40	9.83	9.64	9.85	0.37	3.94	19.62	6.92	404.37	-1.04	0.433	0.0	0.00	0.000	0.000	0.000	0.00	0.00	0.000	-1.7886
EQU	0	16/12/11	20:52:24	20:52:26	-61.1827	0.0698	-1.11	NaN	12767925.00	406.88	13508892.00	0.14	26.38	965.14	964.67	-0.28	3.24	81.07	43.00	-55.39	9.83	9.64	9.85	0.37	4.56	19.56	6.92	402.04	-1.03	0.445	0.0	0.00	3.468	28.657	30.898	113.30	12.23	-38.583	-1.7654
STD1	0	16/12/11	20:56:51	20:56:53	-61.1936	0.0662	-1.08	0.00	13539606.00	-0.10	13533968.00	-0.31	26.34	965.09	964.67	-0.18	3.27	191.51	43.00	-55.33	9.83	9.64	9.85	0.37	4.62	19.50	6.92	397.59	-1.00	0.432	0.0	0.00	3.385	28.698	31.026	113.40	12.27	-38.583	-1.7355
STD2	0	16/12/11	21:01:21	21:01:23	-61.2053	0.0667	-1.06	357.83	12843480.00	357.66	13539559.00	-0.29	26.30	965.01	964.71	-0.16	3.26	52.03	43.00	-55.50	9.83	9.64	9.85	0.37	4.69	19.44	6.82	396.27	-0.98	0.429	0.0	0.00	3.300	28.713	31.125	113.30	12.27	-38.583	-1.7048
STD3-DRAIN	0	16/12/11	21:05:51	21:05:53	-61.2172	0.0680	-1.03	377.50	12810740.00	377.50	13542203.00	-0.30	26.27	964.97	964.63	-0.22	3.27	61.25	43.00	-55.37	9.83	9.64	9.85	0.37	4.69	19.50	6.72	396.67	-0.95	0.432	0.0	0.00	3.294	28.767	31.197	113.00	12.23	-38.583	-1.6966
STD4	0	16/12/11	21:10:42	21:10:44	-61.2297	0.0651	-1.00	427.83	12737933.00	428.16	13541249.00	-0.30	26.24	964.95	964.41	-0.41	3.28	51.62	43.00	-55.36	9.83	9.64	9.85	0.37	4.56	19.44	6.72	396.57	-0.93	0.431	0.0	0.00	3.321	28.710	31.102	113.40	12.27	-38.583	-1.6887
ATM	0	16/12/11	21:15:11	21:15:13	-61.2412	0.0595	-1.04	NaN	12796176.00	389.06	13485525.00	0.44	26.19	964.76	964.49	-0.16	3.29	96.10	43.00	-55.36	9.83	9.64	9.85	0.37	4.94	19.44	6.62	396.22	-0.95	0.429	0.0	0.00	3.318	28.741	31.142	113.60	12.29	-38.583	-1.7067
ATM	0	16/12/11	21:16:40	21:16:42	-61.2449	0.0579	-1.04	NaN	12795350.00	388.90	13488258.00	0.44	26.18	964.85	964.39	-0.21	3.29	96.04	43.00	-55.36	9.83	9.64	9.85	0.37	4.69	19.37	6.62	396.51	-0.96	0.440	0.0	0.00	3.318	28.691	31.083	113.60	12.30	-38.583	-1.7114
ATM	0	16/12/11	21:18:11	21:18:13	-61.2487	0.0570	-1.04	NaN	12796631.00	388.93	13484359.00	0.44	26.16	964.81	964.37	-0.22	3.28	95.64	43.00	-55.35	9.83	9.64	9.85	0.37	4.56	19.37	6.62	396.08	-0.95	0.431	0.0	0.00	3.313	28.696	31.094	113.70	12.31	-38.583	-1.7195
ATM	0	16/12/11	21:19:40	21:19:42	-61.2523	0.0573	-1.04	NaN	12796444.00	388.97	13487770.00	0.44	26.15	964.86	964.59	-0.16	3.29	95.64	43.00	-55.35	9.83	9.64	9.85	0.37	4.56	19.37	6.62	395.92	-0.96	0.431	0.0	0.00	3.300	28.702	31.113	113.70	12.32	-38.583	-1.7128
ATM	0	16/12/11	21:21:10	21:21:12	-61.2561	0.0579	-1.04	NaN	12793220.00	389.01	13487554.00	0.43	26.13	964.81	964.59	-0.22	3.29	96.04	43.00	-55.35	9.83	9.64	9.85	0.37	4.69	19.37	6.62	395.85	-0.95	0.436	0.0	0.00	3.413	29.391	31.826	113.50	12.20	-38.583	-1.7161
ATM	0	16/12/11	21:22:41	21:22:43	-61.2600	0.0591	-1.04	NaN	12795743.00	389.09	13487976.00	0.43	26.13	964.84	964.46	-1.02	3.30	96.50	43.00	-55.44	9.83	9.64	9.85	0.37	5.00	19.37	6.62	0.00	0.00	0.442	0.0	0.00	3.606	29.782	32.103	113.20	12.09	-38.583	-1.7167
ATM	0	16/12/11	21:24:15	21:24:17	-61.2642	0.0602	-1.04	NaN	12795970.00	389.04	13487779.00	0.43	26.12	964.86	964.43	-0.17	3.30	95.75	43.00	-55.44	9.83	9.64	9.85	0.37	4.87	19.37	6.52	396.46	-0.95	0.436	0.0	0.00	3.793	29.980	32.154	112.90	12.00	-38.583	-1.7024
ATM	0	16/12/11	21:25:40	21:25:42	-61.2680	0.0612	-1.04	NaN	12795924.00	389.06	13487665.00	0.42	26.11	964.80	964.49	-0.18	3.30	96.10	43.00	-55.43	9.83	9.64	9.85	0.37	4.62	19.37	6.52	395.71	-0.94	0.432	0.0	0.00	3.934	29.092	30.970	113.00	12.06	-38.583	-1.6929
ATM	0	16/12/11	21:27:10	21:27:12	-61.2720	0.0622	-1.02	NaN	12796183.00	389.01	13487302.00	0.42	26.10	964.75	964.19	-0.25	3.29	95.93	43.00	-55.36	9.83	9.64	9.85	0.37	4.56	19.37	6.52	395.30	-0.93	0.430	0.0	0.00	3.943	28.838	30.664	113.10	12.09	-38.583	-1.6813
ATM	0	16/12/11	21:28:41	21:28:43	-61.2755	0.0620	-1.02	NaN	12800656.00	389.04	13473535.00	0.42	26.10	964.76	964.31	-0.27	3.29	95.87	43.00	-55.37	9.83	9.64	9.85	0.37	4.56	19.37	6.52	395.04	-0.94	0.424	0.0	0.00	3.824	28.457	30.327	113.60	12.21	-38.583	-1.6810
EQU-DRAIN	0	16/12/11	21:33:36	21:33:38	-61.2846	0.0490	-1.01	NaN	12761197.00	412.14	13505913.00	0.18	26.07	964.68	963.99	-0.30	3.30	79.42	50.00	-55.42	9.83	9.64	9.85	0.37	5.00	19.31	6.42	394.74	-0.94	0.419	0.0	0.00	3.414	28.413	30.659	114.80	12.43	-38.583	-1.6888
EQU	0	16/12/11	21:35:25	21:35:27	-61.2882	0.0431	-1.02	NaN	12766949.00	408.25	13504290.00	0.18	26.06	964.63	964.06	-0.25	3.29	80.35	50.00	-55.39	9.83	9.64	9.85	0.37	3.37	19.25	6.42	394.71	-0.95	0.434	0.0	0.00	3.331	28.380	30.698	114.80	12.45	-38.583	-1.6958
EQU	0	16/12/11	21:36:54	21:36:56	-61.2914	0.0392	-1.03	NaN	12764581.00	408.27	13507066.00	0.16	26.05	964.61	963.83	-0.35	3.29	81.48	50.00	-55.35	9.82	9.64	9.85	0.37	4.25	19.12	6.42	394.31	-0.94	0.434	0.0	0.00	3.274	28.339	30.704	114.80	12.48	-38.583	-1.6956
EQU	128	16/12/11	21:38:24	21:38:26	-61.2950	0.0360	-1.03	NaN	12767591.00	408.00	13506663.00	0.16	26.03	964.71	964.15	-0.36	3.27	79.63	50.00	-55.37	9.83	9.64	9.85	0.37	4.50	19.06	6.42	394.37	-0.95	0.419	0.0	0.00	3.234	28.362	30.769	114.60	12.47	-38.583	-1.6720
EQU	0	16/12/11	21:39:54	21:39:56	-61.2987	0.0330	-1.01	NaN	12767279.00	407.99	13500050.00	0.16	26.02	964.72	964.11	-0.40	3.29	80.04	50.00	-55.41	9.83	9.64	9.85	0.37	4.69	19.19	6.42	393.97	-0.93	0.416	0.0	0.00	3.216	28.986	31.534	114.60	12.40	-38.583	-1.6650
EQU	0	16/12/11	21:41:24	21:41:26	-61.3021	0.0296	-1.00	NaN	12765484.00	408.70	13507712.00	0.15	26.02	964.63	963.90	-0.34	3.29	84.16	50.00	-55.42	9.82	9.64	9.85	0.37	3.25	19.19	6.42	393.77	-0.93	0.420	0.0	0.00	3.200	28.933	31.487	114.50	12.40	-38.583	-1.6738
EQU	0	16/12/11	21:42:53	21:42:55	-61.3057	0.0263	-1.01	NaN	12765556.00	409.14	13507250.00	0.15	26.00	964.59	963.92	-0.40	3.29	83.15	50.00	-55.42	9.83	9.64	9.85	0.37	4.06	19.19	6.42	393.96	-0.93	0.420	0.0	0.00	3.181	28.874	31.434	114.40	12.40	-38.583	-1.6746
EQU	128	16/12/11	21:44:25	21:44:27	-61.3094	0.0229	-1.01	NaN	12763962.00	409.28	13507172.00	0.15	25.99	964.46	964.09	-0.36	3.28	81.74	50.00	-55.40	9.83	9.64	9.85	0.37	4.50	19.19	6.42	393.61	-0.94	0.417	0.0	0.00	3.158	28.914	31.504	114.30	12.40	-38.583	-1.6745
EQU	0	16/12/11	21:45:54	21:45:56	-61.3130	0.0197	-1.01	NaN	12763704.00	409.32	13505148.00	0.14	25.98	964.56	963.94	-0.30	3.29	82.73	50.00	-55.37	9.83	9.64	9.85	0.37	4.87	19.12	6.31	392.94	-0.92	0.414	0.0	0.00	3.142	28.919	31.527	114.30	12.39	-38.583	-1.6767
EQU	0	16/12/11	21:47:24	21:47:26	-61.3167	0.0164	-1.01	NaN	12768597.00	409.44	13504630.00	0.14	25.97	964.52	963.74	-0.28	3.29	82.11	50.00	-55.40	9.83	9.64	9.85	0.37	3.25	19.19	6.31	393.30	-0.94	0.406	0.0	0.00	3.134	28.960	31.584	114.20	12.38	-38.583	-1.6794
EQU	0	16/12/11	21:48:53	21:48:55	-61.3200	0.0126	-1.01	NaN	12763219.00	409.56	13504882.00	0.14	25.97	964.52	963.73	-0.27	3.28	82.63	50.00	-55.41	9.82	9.64	9.85	0.37	3.81	19.19	6.31	393.33	-0.94	0.422	0.0	0.00	3.114	28.876	31.501	114.00	12.38	-38.583	-1.6795
