Type	error	Date	PC Time	 gps time	 latitude	 longitude	 equ temp	std val	 CO2 mv	 CO2 um/m	 H2O mv	 H2O mm/m	 licor temp	 licor press	 atm press	 equ press	 H2O flow	 licor flow	 equ pump	 vent flow	 atm cond	 equ cond	 drip 1	 drip 2	 cond temp	 dry box temp	 deck box temp	O2 um/l	O2 temp	Ch conc	Ch temp	Press	Temp	Cond	Sal	O2%	O2ppm	Temp2	TempIntake
EQU	0	16/12/11	00:01:17	00:01:19	-58.8754	0.0179	-0.98	NaN	12784173.00	393.82	13523171.00	0.17	24.67	965.60	965.02	-0.38	3.20	80.96	43.00	-55.47	9.82	9.64	9.85	0.37	5.00	17.81	6.82	407.79	-0.93	0.649	0.0	0.00	0.555	27.719	32.657	110.30	12.69	-38.583	-1.7296
EQU	0	16/12/11	00:02:47	00:02:49	-58.8789	0.0178	-0.98	NaN	12783026.00	393.85	13503908.00	0.17	24.66	965.69	965.20	-0.56	3.21	79.63	43.00	-55.49	9.82	9.64	9.85	0.37	4.62	17.87	6.82	406.53	-0.93	0.612	0.0	0.00	0.524	27.672	32.629	110.30	12.70	-38.583	-1.7185
EQU-DRAIN	128	16/12/11	00:04:19	00:04:20	-58.8824	0.0177	-0.98	NaN	12786081.00	396.30	13505299.00	0.17	24.64	965.48	965.01	-0.35	3.21	80.09	43.00	-55.49	9.82	9.64	9.85	0.37	4.44	17.87	6.82	405.56	-0.90	0.576	0.0	0.00	0.568	27.647	32.550	110.10	12.67	-38.583	-1.7624
EQU	0	16/12/11	00:06:09	00:06:10	-58.8864	0.0176	-0.99	NaN	12779954.00	394.95	13515198.00	0.17	24.64	965.69	965.13	-0.34	3.19	80.35	43.00	-55.48	9.82	9.64	9.85	0.37	4.44	17.87	6.82	415.48	-0.94	0.647	0.0	0.00	0.516	27.557	32.489	110.30	12.71	-38.583	-1.7242
EQU	0	16/12/11	00:07:37	00:07:39	-58.8897	0.0180	-0.98	NaN	12770403.00	398.20	13515792.00	0.17	24.63	965.60	965.17	-0.31	3.20	79.42	43.00	-55.46	9.82	9.64	9.85	0.37	4.87	17.81	6.82	411.25	-0.93	0.601	0.0	0.00	0.441	27.508	32.503	110.60	12.77	-38.583	-1.7093
EQU	0	16/12/11	00:09:07	00:09:09	-58.8930	0.0186	-0.97	NaN	12780646.00	398.19	13491299.00	0.17	24.62	965.65	965.08	-0.33	3.16	81.38	43.00	-55.46	9.82	9.64	9.85	0.37	3.12	17.87	6.72	407.56	-0.90	0.574	0.0	0.00	0.421	27.469	32.474	110.50	12.78	-38.583	-1.7358
EQU	0	16/12/11	00:10:37	00:10:38	-58.8957	0.0195	-0.98	NaN	12765319.00	399.52	13523175.00	0.17	24.61	965.74	965.36	-0.29	3.18	79.37	43.00	-55.47	9.82	9.64	9.85	0.37	3.00	17.81	6.72	416.62	-0.92	0.633	0.0	0.00	0.496	27.320	32.201	110.30	12.75	-38.583	-1.7246
EQU	128	16/12/11	00:12:07	00:12:09	-58.8983	0.0199	-0.98	NaN	12768307.00	397.41	13513207.00	0.16	24.60	965.69	965.28	-0.25	3.17	81.95	43.00	-55.50	9.82	9.64	9.85	0.37	4.31	17.81	6.72	411.35	-0.93	0.614	0.0	0.00	0.468	27.309	32.216	110.60	12.79	-38.583	-1.7371
EQU	0	16/12/11	00:13:37	00:13:38	-58.9008	0.0203	-0.99	NaN	12789599.00	396.67	13477144.00	0.16	24.59	965.64	965.25	-0.35	3.16	80.60	43.00	-55.49	9.82	9.64	9.85	0.37	4.44	17.75	6.82	413.98	-0.93	0.623	0.0	0.00	0.440	27.269	32.194	110.70	12.81	-38.583	-1.7315
EQU	0	16/12/11	00:15:08	00:15:09	-58.9035	0.0206	-0.99	NaN	12777187.00	395.66	13496806.00	0.16	24.58	965.68	965.26	-0.29	3.18	79.93	43.00	-55.46	9.82	9.64	9.85	0.37	4.81	17.75	6.82	412.33	-0.94	0.642	0.0	0.00	0.446	27.177	32.067	110.40	12.79	-38.583	-1.7342
