Type	error	Date	PC Time	 gps time	 latitude	 longitude	 equ temp	std val	 CO2 mv	 CO2 um/m	 H2O mv	 H2O mm/m	 licor temp	 licor press	 atm press	 equ press	 H2O flow	 licor flow	 equ pump	 vent flow	 atm cond	 equ cond	 drip 1	 drip 2	 cond temp	 dry box temp	 deck box temp	O2 um/l	O2 temp	Ch conc	Ch temp	Press	Temp	Cond	Sal	O2%	O2ppm	Temp2	TempIntake
EQU	0	13/12/11	16:48:47	16:48:52	-49.5085	1.8561	5.75	NaN	12843023.00	369.04	13542627.00	0.20	29.96	1012.07	1011.75	-0.37	3.03	87.97	43.00	-55.07	9.82	9.62	9.85	0.35	4.62	23.69	16.18	383.62	5.74	0.646	0.0	0.00	6.032	33.379	33.855	119.20	11.86	-38.583	5.1068
EQU	0	13/12/11	16:50:23	16:50:28	-49.5124	1.8518	5.75	NaN	12798444.00	377.22	13511867.00	0.17	29.97	1011.87	1011.74	-0.49	3.05	87.86	43.00	-55.05	9.82	9.62	9.85	0.35	3.87	23.62	16.18	383.45	5.74	0.646	0.0	0.00	6.015	33.372	33.864	119.20	11.87	-38.583	5.1032
EQU	128	13/12/11	16:51:52	16:51:57	-49.5161	1.8482	5.75	NaN	12775021.00	380.44	13516198.00	0.16	29.96	1011.99	1011.89	-0.36	3.04	88.30	43.00	-55.05	9.82	9.62	9.85	0.35	4.75	23.50	16.18	383.85	5.74	0.658	0.0	0.00	0.000	0.000	0.000	0.00	0.00	0.000	5.1294
EQU	0	13/12/11	16:53:22	16:53:27	-49.5198	1.8444	5.77	NaN	12812359.00	380.03	13529384.00	0.16	29.97	1012.05	1011.67	-0.32	3.04	87.10	43.00	-55.05	9.82	9.62	9.85	0.35	4.87	23.56	16.18	383.72	5.76	0.696	0.0	0.00	6.010	33.383	33.882	119.10	11.86	-38.583	5.1109
EQU	0	13/12/11	16:54:53	16:54:58	-49.5236	1.8403	5.76	NaN	12765080.00	380.36	13482764.00	0.16	29.98	1011.94	1011.82	-0.21	3.04	89.83	43.00	-55.06	9.82	9.62	9.85	0.35	3.94	23.62	16.18	383.46	5.75	0.706	0.0	0.00	6.017	33.364	33.854	119.10	11.85	-38.583	5.1267
EQU	0	13/12/11	16:56:23	16:56:28	-49.5273	1.8366	5.77	NaN	12775783.00	381.04	13517961.00	0.15	30.00	1011.84	1011.78	-0.31	3.05	88.24	43.00	-55.07	9.82	9.62	9.85	0.35	4.25	23.69	16.18	384.32	5.77	0.704	0.0	0.00	6.021	33.378	33.866	119.00	11.85	-38.583	5.1389
STD1	0	13/12/11	17:00:49	17:00:54	-49.5384	1.8251	5.78	0.00	13546545.00	-0.26	13529346.00	-0.32	30.07	1011.64	1011.77	-0.13	3.04	201.81	43.00	-55.02	9.82	9.62	9.85	0.35	4.94	23.87	16.08	384.69	5.76	0.621	0.0	0.00	6.028	33.367	33.845	119.00	11.85	-38.583	5.1082
STD2-DRAIN	128	13/12/11	17:05:19	17:05:24	-49.5496	1.8136	5.74	357.83	12817480.00	357.13	13526643.00	-0.30	30.12	1011.68	1011.53	-0.17	3.02	56.98	43.00	-55.03	9.82	9.62	9.85	0.35	4.94	23.75	16.08	384.96	5.73	0.781	0.0	0.00	6.010	33.365	33.861	118.90	11.84	-38.583	5.0762
STD3	0	13/12/11	17:10:11	17:10:16	-49.5620	1.8010	5.71	377.50	12773275.00	376.92	13538412.00	-0.31	30.15	1011.54	1011.48	-0.10	3.04	66.54	43.00	-55.05	9.82	9.62	9.85	0.35	5.00	23.75	15.98	384.04	5.70	0.871	0.0	0.00	5.982	33.359	33.884	119.00	11.85	-38.583	5.0540
STD4	0	13/12/11	17:14:39	17:14:44	-49.5733	1.7894	5.68	427.83	12670353.00	427.36	13529730.00	-0.30	30.16	1011.59	1011.42	-0.15	3.04	56.47	43.00	-55.02	9.82	9.62	9.85	0.35	4.87	23.75	15.98	382.49	5.66	0.697	0.0	0.00	5.969	33.305	33.835	118.70	11.83	-38.583	4.9842
