# Data collected by wave glider.
# Date: October 2013 to Feb 2014
# Location: Pseudo mooring mode (20km octagon at 43S 8E)
# Publication: Monteiro et al. (2015)
#
# Column Descriptions
# DateTime:     YYYY-mm-dd HH:MM:SS
# Lat:          decimal degrees north
# Lon:          decimal degrees east
# Temperature:  degrees C
# Salinity:     PSU
# DeltaPco2:    difference between atmospheric and marine partial pressure of CO2
# Vscatt_ms1:   Wind from scatterometer data in m/s
# DateNum:      MATLAB date number (for easy conversion)
# CO2Flux_N00:  CO2 flux calculated from Vscatt mmol/m2/d using the gas exchange co-efficient by Nightingale et al. (2000)
# CO2Flux_H06:  CO2 flux calculated from Vscatt mmol/m2/d using the gas exchange co-efficient by Ho et al. (2006)
# Juldate:      Julian date as decimal days since 0001-01-01
# CO2Flux_N00_filled:  Same as CO2Flux_N00, but gaps are filled with a Guassian interpolation method
# CO2Flux_N00_filled:  Same as DeltaFco2, but gaps are filled with a Guassian interpolation method
#
DateTime,Lat,Lon,Temperature,Salinity,DeltaPco2,Vscatt,DateNum,CO2Flux_N00,CO2Flux_H06,Juldate,CO2Flux_N00_filled,DeltaFco2_filled
2013-10-13 11:00:00,,,,,,,,,,2456578.9583333335,-2.5051319038417788,-9.532272183686642
2013-10-13 12:00:00,,,,,,,,,,2456579.0,-2.8653209339152275,-4.227664208627712
2013-10-13 13:00:00,,,,,,,,,,2456579.0416666665,-4.512835627909257,-9.583950184944996
2013-10-13 14:00:00,-41.224,10.307,10.095,34.629,0.84,11.519,735520.58,0.21696243796900788,0.23001193194032102,2456579.0833333335,0.21696243796900788,0.84
2013-10-13 15:00:00,-41.248000000000005,10.309000000000001,10.109,34.64,-25.68,11.571,735520.63,-6.688687846384147,-7.094661340508252,2456579.125,-6.688687846384147,-25.68
2013-10-13 16:00:00,-41.271,10.311,10.096,34.64,-25.84,11.612,735520.67,-6.775673359769139,-7.1898397411449135,2456579.1666666665,-6.775673359769139,-25.84
2013-10-13 17:00:00,-41.294,10.312999999999999,10.132,34.647,-25.59,11.654000000000002,735520.71,-6.754923215955848,-7.17077763220291,2456579.2083333335,-6.754923215955848,-25.59
2013-10-13 18:00:00,,,,,,,,,,2456579.25,-4.550571233808416,-19.19745372726548
2013-10-13 19:00:00,,,,,,,,,,2456579.2916666665,-4.0468917338120525,-18.88925614829336
2013-10-13 20:00:00,,,,,,,,,,2456579.3333333335,-6.294527076180975,-23.58420549337977
2013-10-13 21:00:00,,,,,,,,,,2456579.375,-6.361249714850477,-32.151571596710966
2013-10-13 22:00:00,,,,,,,,,,2456579.4166666665,-5.429643968558567,-28.942104021431142
2013-10-13 23:00:00,,,,,,,,,,2456579.4583333335,-5.928346889984821,-28.733447177037586
2013-10-14 00:00:00,,,,,,,,,,2456579.5,-6.166153134303273,-27.65478374240823
2013-10-14 01:00:00,,,,,,,,,,2456579.5416666665,-6.405853191310441,-23.303001661733113
2013-10-14 02:00:00,,,,,,,,,,2456579.5833333335,-4.2790058675862435,-26.527064210575134
2013-10-14 03:00:00,,,,,,,,,,2456579.625,-6.168228793656572,-27.2935162412886
2013-10-14 04:00:00,,,,,,,,,,2456579.6666666665,-5.916373242250832,-31.87698224382932
2013-10-14 05:00:00,,,,,,,,,,2456579.7083333335,-7.519521854333494,-32.19548954276325
2013-10-14 06:00:00,,,,,,,,,,2456579.75,-7.6915938735415414,-22.859749735859463
2013-10-14 07:00:00,,,,,,,,,,2456579.7916666665,-6.202245035168637,-20.635656239550727
2013-10-14 08:00:00,,,,,,,,,,2456579.8333333335,-5.5131863621571995,-25.38799629548556
2013-10-14 09:00:00,,,,,,,,,,2456579.875,-4.410363017063996,-26.56332133467422
