Salinity,Depth
33.8638,1.45
33.864,1.45
33.8633,1.5
33.8632,1.45
33.8636,1.493
33.8634,1.45
33.8632,1.45
33.8634,1.5
33.864,1.3940000000000001
33.8643,1.443
33.8642,1.5
33.8641,1.5
33.8639,1.45
33.864,1.45
33.8636,1.493
33.8637,1.45
33.8639,1.5
33.8637,1.5
33.8637,1.45
33.8633,1.443
33.8635,1.55
33.8628,1.45
33.8634,1.5
33.8659,1.45
33.8671,1.493
33.8671,1.5
33.8679,1.5
33.8672,1.5
33.8664,1.45
33.8652,1.493
33.8632,1.5
33.8623,1.5
33.8616,1.45
33.8607,1.5
33.8604,1.493
33.8599,1.5
33.8601,1.5
33.8589,1.45
33.8575,1.5
33.8565,1.3869999999999998
33.8553,1.6059999999999999
33.8562,1.5
33.8621,1.5
33.8714,1.5
33.8779,1.45
33.8797,1.493
33.879,1.5
33.8783,1.5
33.8787,1.5
33.88,1.5
33.8808,1.493
33.8829,1.5
33.8833,1.45
33.8843,1.5
33.8841,1.5
33.8819,1.493
33.8787,1.5
33.875,1.5
33.8729,1.5
33.8707,1.5
33.8686,1.493
33.8669,1.55
33.8654,1.45
33.8631,1.5
33.8621,1.5
33.8616,1.55
33.861,1.5
33.8593,1.5
33.8583,1.5
33.8582,1.55
33.8579,1.443
33.8585,1.5
33.8585,1.5
33.8583,1.55
33.8581,1.5
33.8573,1.493
33.8573,1.5
33.8569,1.5
33.8577,1.5
33.8581,1.5
33.8584,1.443
33.8589,1.5
33.8593,1.5
33.8587,1.5
33.8588,1.5
33.8578,1.3869999999999998
33.8577,1.6059999999999999
33.8583,1.45
33.8586,1.5
33.8593,1.5
33.8603,1.45
33.8614,1.493
33.8624,1.5
33.8642,1.45
33.8648,1.5
33.8656,1.5
33.8657,1.493
33.8658,1.5
33.8664,1.45
33.8667,1.55
33.8664,1.5
33.867,1.493
33.8659,1.5
33.8647,1.5
33.8651,1.5
33.8645,1.5
33.8657,1.493
33.8673,1.5
33.8685,1.5
33.8682,1.55
33.8667,1.45
33.8659,1.493
33.8653,1.55
33.8657,1.5
33.8657,1.45
33.866,1.55
33.8657,1.443
33.8643,1.55
33.8629,1.45
33.8611,1.5
33.8602,1.5
33.8611,1.493
33.8633,1.5
33.8656,1.5
33.8661,1.5
33.8666,1.5
33.8677,1.443
33.8679,1.55
33.8682,1.45
33.8687,1.5
33.869,1.55
33.8685,1.443
33.868,1.45
33.8681,1.5
33.8675,1.55
